"1119";"709 Fellowship Road, Mt. Laurel, NJ";"15";"1";"<p>Kevin Burns and Fred Berlinsky represented the Landlord, 709 Fellowship, LLC and the Tenant, Communications Construction Group, LLC, in the lease of an industrial building of 12,500 Square Feet.&nbsp; This propety is in an excellent location at the intersection of Route 73, the New Jersey Turnpike and I-295.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 19:01:15"
"1120";"2 South White Horse Pike, Somerdale, NJ";"15";"1";"<p>Seth Hersh represented the Buyer, CAR-TEL Communications, a master AT&amp;T agent that operates 14 facilities throughout Southern New Jersey, in the purchase of a property it was leasing.&nbsp; The building is 2,200 Square Feet and sold for a 9% cap rate on income.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 19:03:43"
"1121";"20 Brace Road, Cherry Hill, NJ";"15";"1";"<p>Kevin Burns and Fred Berlinsky along with Needleman Management Company successfully consummated 3 lease transactions totaling 13,650 Square Feet.&nbsp; The new tenants are the Girl Scouts of Central and Southern NJ, Hockfield &amp; Kasher, P.A. and Green, Lundgren &amp; Ryan, P.C.&nbsp; This puts the 45,000 square foot office building at 100% occupancy.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 19:05:27"
"1122";"Avenues of Commerce, Route 38, Cherry Hill, NJ";"15";"1";"<p>Matthew Neisser and Fred Berlinsky represented a regional bank in the sale of this 22,000 Square Foot flex office building.&nbsp; The Buyer was Lazgor, LLC.&nbsp; The future use of the property and sale price is not being disclosed at this time.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 19:07:46"
"1123";"1274 N. Church Street, Moorestown, NJ";"15";"1";"<p>Fred Berlinsky, Kevin Burns and Matthew Neisser represented both the Buyer, 1274 N. Church Street, LLC and the Seller, South Hainesport Industrial Trust, for this 21,000 Square Foot industrial building.&nbsp; The property sold for $47.00 per square foot.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-03-26 19:09:30"
"1158";"Retail Building on Route 70, Cherry Hill - Sold";"15";"1";"<p>The All Seasons Pool and Spa building at 1753 Route 70 was sold for $500,000.&nbsp; The 4,000 Square Foot building will be converted to an educational testing center for YALE Academy.&nbsp; Matthew Neisser and Seth Hersh represented the Seller in this transaction.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 18:03:23"
"1159";"Former Penny Plate Warehouse in Cherry Hill Sold";"15";"1";"<p>Seth Hersh represented the Buyer for this 47,000 Square Foot warehouse located at 603 Kresson Road.&nbsp; The new owner will be renovating the building in the near future.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 18:07:15"
"1160";"Ramblewood Shopping Center in Mt. Laurel Sold";"15";"1";"<p>Seth Hersh represented the Seller, Empire Ramblewood, LLC, for this 27,000 Square Foot mixed use retail/office complex.&nbsp; The Buyer was a local investor who has begun major upgrades to the center.&nbsp; The purchase price was $2,950,000.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 18:09:12"
"1161";"Law Firm Leases Space at Pavilions of Moorestown, NJ";"15";"1";"<p>The firm of Caplan, Valenti and Murray has leased space at the Pavilions of Moorestown on Marne Highway.&nbsp; Matthew Neisser at Markeim-Chalmers is the exclusive leasing agent representing the Landlord, The Fentell Corporation.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 18:11:50"
"1162";"6,000 SF Office Lease Signed in Maple Shade, NJ";"15";"1";"<p>Senior Settlements, LLC has renewed their lease at Tall Oaks Corporate Center with Needleman Management Company.&nbsp; Kevin Burns represented Senior Settlements.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 19:27:52"
"1163";"12,000 SF Warehouse Lease Signed in Pennsauken, NJ";"15";"1";"<p>Traditional Floor Covering has signed a long term lease for 12,000 Square Feet with the Bloom Organization at 6910 Central Highway.&nbsp; Traditional Floor was represented by Kevin Burns.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 19:30:12"
"1164";"30,000 SF Office Lease Signed";"15";"1";"<p>Teknion, LLC has signed a long term lease for 30,000 Square Feet with Liberty Property Trust in Mt. Laurel, NJ.&nbsp; Teknion was reprsented by Fred Berlinsky.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-15 20:17:47"
"1165";"Town Center Shopping Center in Lindenwold Sold";"15";"1";"<p>Seth Hersh represented the Buyer of this 22,000 Square Foot center located on Chews Landing Road.&nbsp; The Seller was Cherry Hill Plazas, LLC and the center sold at a 7.5% Cap Rate.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2013-08-14 04:00:00"
